,Номер поручения,Команда,Затрачено дней,Время начала выполнения,Время завершения,Оценка за качество,Оценка по срокам,Оценка за вежливость,Приоритет команды,Дата начала выполнения,Дата завершения,Дата поручения,Описание,cluster
0,11143,"(('Альфред', 'лекарь'), ('Альфред', 'мечник'))",6,1020,1026,3.8333333333333335,3.6666666666666665,3.5,51,1053-10-18 00:00:00,1053-10-24 00:00:00,1053-10-18,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.",убить-победить-уничтожить дракон
1,11234,"(('Бендер', 'мечник'), ('Мартин', 'лучник'))",14,1026,1040,3.833333333333333,3.416666666666667,4.5,418,1053-10-24 00:00:00,1053-11-07 00:00:00,1053-10-24,В лесу по дороге от пещеры заметили разбойников. Нужно прогнать их.,прогнать-проучить разбойник
2,11396,"(('Бендер', 'рейнджер'), ('Юлия', 'рейнджер'))",3,1033,1036,4.166666666666666,3.833333333333333,4.333333333333333,81,1053-10-31 00:00:00,1053-11-03 00:00:00,1053-10-31,В лесу недалеко от города заметили зверей. Нужно убить их.,убить-победить-уничтожить зверь
3,11402,"(('Бендер', 'следопыт'), ('Фредерик', 'следопыт'))",3,1045,1048,3.6285714285714286,4.057142857142858,4.0,50,1053-11-12 00:00:00,1053-11-15 00:00:00,1053-11-12,По дороге из деревни у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,вернуть-найти драгоценность
4,11232,"(('Бенедикт', 'следопыт'),)",5,1024,1029,3.6,4.2,4.2,4,1053-10-22 00:00:00,1053-10-27 00:00:00,1053-10-22,В деревне монстры похитили путников. Нужно спасти их.,спасти-освободить монстр
5,11306,"(('Бенедикт', 'следопыт'),)",5,1048,1053,3.6,4.2,4.2,4,1053-11-15 00:00:00,1053-11-20 00:00:00,1053-11-15,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",спасти-освободить монстр
6,11462,"(('Бенедикт', 'следопыт'),)",4,1055,1059,3.6,4.2,4.2,4,1053-11-22 00:00:00,1053-11-26 00:00:00,1053-11-22,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",спасти-освободить монстр
7,11417,"(('Леопольд', 'следопыт'), ('Пастушок', 'следопыт'))",12,994,1006,3.904761904761905,3.4523809523809526,3.8333333333333335,80,1053-09-22 00:00:00,1053-10-04 00:00:00,1053-09-22,Недалеко от города у меня была украдена драгоценность. Нужно найти её как можно скорее.,вернуть-найти драгоценность
8,11387,"(('Леопольд', 'следопыт'), ('Юлия', 'следопыт'))",6,1015,1021,4.083333333333333,2.916666666666667,4.0,100,1053-10-13 00:00:00,1053-10-19 00:00:00,1053-10-13,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,вернуть-найти драгоценность
9,11218,"(('Мартин', 'следопыт'),)",4,1003,1007,4.0,4.0,4.5,1,1053-10-01 00:00:00,1053-10-05 00:00:00,1053-10-01,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",спасти-освободить монстр
10,11428,"(('Пастушок', 'мечник'), ('Бенедикт', 'рейнджер'))",7,1037,1044,3.5,4.0,3.75,165,1053-11-04 00:00:00,1053-11-11 00:00:00,1053-11-04,В лесу около деревни звери нападают на людей. Нужно прогнать их.,прогнать-проучить зверь
11,11161,"(('Пастушок', 'следопыт'), ('Фредерик', 'следопыт'))",3,1005,1008,4.166666666666666,4.0,4.333333333333333,8,1053-10-03 00:00:00,1053-10-06 00:00:00,1053-10-03,В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,вернуть-найти рюкзак
12,11438,"(('Синеглазый', 'следопыт'), ('Бендер', 'следопыт'))",2,1052,1054,3.95,4.2,4.0,5,1053-11-19 00:00:00,1053-11-21 00:00:00,1053-11-19,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",вернуть-найти драгоценность
13,11311,"(('Синеглазый', 'следопыт'), ('Соня', 'следопыт'))",7,992,999,4.416666666666666,4.0,3.75,0,1053-09-20 00:00:00,1053-09-27 00:00:00,1053-09-20,По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,вернуть-найти драгоценность
14,11285,"(('Фредерик', 'следопыт'), ('Альфред', 'следопыт'))",3,1002,1005,3.75,3.75,4.0,59,1053-09-30 00:00:00,1053-10-03 00:00:00,1053-09-30,В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,вернуть-найти рюкзак
15,11134,"(('Юлия', 'лекарь'), ('Агата', 'лучник'))",9,976,985,4.0,4.166666666666667,4.333333333333333,2,1053-09-04 00:00:00,1053-09-13 00:00:00,1053-09-04,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,убить-победить-уничтожить огромный каменный чудовище
16,11381,"(('Юлия', 'лекарь'), ('Синеглазый', 'мечник'))",9,992,1001,4.0,4.083333333333333,4.166666666666667,6,1053-09-20 00:00:00,1053-09-29 00:00:00,1053-09-20,В пещере появвилось огромное каменное чудовище. Нужно убить его.,убить-победить-уничтожить огромный каменный чудовище
17,11310,"(('Юлия', 'следопыт'),)",5,996,1001,3.6666666666666665,3.6666666666666665,3.8333333333333335,7,1053-09-24 00:00:00,1053-09-29 00:00:00,1053-09-24,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",спасти-освободить монстр
18,11056,"(('Юлия', 'следопыт'), ('Леопольд', 'следопыт'))",11,978,989,4.083333333333333,2.916666666666667,4.0,101,1053-09-06 00:00:00,1053-09-17 00:00:00,1053-09-06,По дороге из деревни у меня пропала драгоценность. Нужно вернуть её как можно скорее.,вернуть-найти драгоценность
